
#----------------------------------------#
# x0	x1	x2	x3	# name
# uint	uint	dbl	str	# type
#----------------------------------------#
 3, 	10, 	1.02208, 	"Berlin" 
 2, 	9, 	1.40838, 	"Berlin" 
 1, 	8, 	1.22198, 	"London" 
 1, 	10, 	1.53197, 	"Berlin" 
 2, 	7, 	1.62136, 	"Berlin" 
 2, 	7, 	1.03026, 	"Berlin" 
 1, 	8, 	1.97668, 	"Berlin" 
 1, 	8, 	1.79496, 	"Berlin" 
 1, 	8, 	1.55733, 	"London" 
 3, 	10, 	1.9698, 	"Paris" 
 1, 	8, 	1.11084, 	"Paris" 
 3, 	8, 	1.22644, 	"London" 
 1, 	8, 	1.98953, 	"Paris" 
 1, 	8, 	1.76995, 	"Paris" 
 2, 	8, 	1.27264, 	"London" 
 3, 	10, 	1.18462, 	"London" 
 1, 	9, 	1.61059, 	"Paris" 
 2, 	7, 	1.37026, 	"Paris" 
 1, 	7, 	1.56938, 	"London" 
 1, 	7, 	1.89928, 	"Berlin" 
 3, 	7, 	1.16757, 	"Paris" 
 2, 	7, 	1.80095, 	"Paris" 
 3, 	8, 	1.1568, 	"Paris" 
 3, 	9, 	1.88278, 	"London" 
 3, 	7, 	1.2026, 	"Paris" 
 2, 	8, 	1.31736, 	"Berlin" 
 3, 	7, 	1.88811, 	"London" 
 2, 	9, 	1.55574, 	"Berlin" 
 2, 	7, 	1.65378, 	"London" 
 1, 	7, 	1.46111, 	"London" 
 2, 	9, 	1.77421, 	"Paris" 
 3, 	8, 	1.07268, 	"Paris" 
 1, 	9, 	1.10908, 	"Berlin" 
 2, 	8, 	1.23832, 	"Paris" 
 3, 	10, 	1.62545, 	"Paris" 
 3, 	8, 	1.71481, 	"Berlin" 
 2, 	9, 	1.52028, 	"Paris" 
 1, 	8, 	1.73942, 	"Berlin" 
 3, 	9, 	1.01828, 	"London" 
 1, 	9, 	1.89243, 	"London" 
 3, 	9, 	1.96919, 	"Berlin" 
 3, 	10, 	1.94316, 	"Berlin" 
 3, 	7, 	1.46657, 	"London" 
 3, 	9, 	1.49581, 	"Paris" 
 2, 	8, 	1.93104, 	"Berlin" 
 3, 	9, 	1.40237, 	"Paris" 
 1, 	7, 	1.64132, 	"Paris" 
 1, 	7, 	1.4392, 	"Berlin" 
 1, 	9, 	1.10008, 	"Berlin" 
 2, 	7, 	1.90977, 	"Paris" 
 2, 	8, 	1.04412, 	"London" 
 3, 	7, 	1.51863, 	"Paris" 
 3, 	7, 	1.83895, 	"London" 
 2, 	9, 	1.26283, 	"Paris" 
 1, 	8, 	1.88009, 	"Paris" 
 3, 	9, 	1.13164, 	"Berlin" 
 3, 	7, 	1.07932, 	"Paris" 
 3, 	9, 	1.2514, 	"London" 
 2, 	8, 	1.46283, 	"Paris" 
 1, 	10, 	1.77522, 	"London" 
 2, 	10, 	1.33664, 	"Berlin" 
 2, 	9, 	1.0408, 	"London" 
 1, 	8, 	1.90092, 	"Berlin" 
 1, 	7, 	1.76571, 	"London" 
 1, 	7, 	1.49553, 	"Berlin" 
 3, 	10, 	1.18192, 	"Berlin" 
 2, 	9, 	1.50398, 	"Berlin" 
 1, 	8, 	1.4246, 	"Berlin" 
 1, 	8, 	1.12381, 	"Paris" 
 1, 	10, 	1.51388, 	"Paris" 
 3, 	8, 	1.71176, 	"Berlin" 
 3, 	7, 	1.85697, 	"Berlin" 
 2, 	8, 	1.41228, 	"Berlin" 
 1, 	10, 	1.61017, 	"Paris" 
 1, 	9, 	1.16036, 	"London" 
 3, 	10, 	1.45956, 	"Paris" 
 2, 	9, 	1.68299, 	"Paris" 
 3, 	10, 	1.02795, 	"London" 
 3, 	9, 	1.88799, 	"Paris" 
 1, 	7, 	1.4671, 	"Paris" 
 3, 	9, 	1.06857, 	"Paris" 
 3, 	7, 	1.39753, 	"Paris" 
 2, 	9, 	1.32864, 	"Berlin" 
 3, 	9, 	1.96892, 	"London" 
 1, 	7, 	1.47143, 	"Berlin" 
 1, 	9, 	1.71156, 	"Paris" 
 2, 	10, 	1.34354, 	"Paris" 
 1, 	8, 	1.32957, 	"London" 
 3, 	8, 	1.86466, 	"Paris" 
 3, 	9, 	1.84813, 	"Berlin" 
 3, 	10, 	1.17283, 	"Paris" 
 2, 	9, 	1.56814, 	"London" 
 3, 	9, 	1.70952, 	"London" 
 2, 	7, 	1.55711, 	"Berlin" 
 1, 	9, 	1.2263, 	"London" 
 3, 	9, 	1.1656, 	"London" 
 2, 	9, 	1.01761, 	"Berlin" 
 2, 	10, 	1.88537, 	"Paris" 
 1, 	7, 	1.09314, 	"London" 
 1, 	8, 	1.06775, 	"London" 
